event_time,merchant_id,txn_id,amount,currency,country,payment_method,auth_result,error_code,issuer_response,fraud_score,avs_result,three_ds,chargeback_flag
2026-01-26T09:00:25Z,M102,T920425,53.24,GBP,GB,card,DECLINED,ISSUER_DO_NOT_HONOR,05,13,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:00:33Z,M601,T908211,10.94,SGD,SG,card,DECLINED,INSUFFICIENT_FUNDS,05,74,AVS_UNAVAILABLE,CHALLENGE,0
2026-01-26T09:00:57Z,M102,T075645,319.39,SGD,SG,card,APPROVED,,,82,AVS_MATCH,CHALLENGE,0
2026-01-26T09:01:22Z,M450,T034346,108.14,EUR,FR,card,APPROVED,,,24,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:01:31Z,M450,T905783,103.14,USD,US,card,APPROVED,,,63,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:01:58Z,M522,T607356,52.89,SGD,SG,card,APPROVED,,,12,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:02:31Z,M450,T642273,206.68,EUR,DE,card,APPROVED,,,60,AVS_MISMATCH,FRICTIONLESS,0
2026-01-26T09:03:07Z,M601,T243891,13.06,USD,US,card,APPROVED,,,18,AVS_MISMATCH,NOT_ATTEMPTED,0
2026-01-26T09:03:23Z,M102,T215631,13.32,GBP,GB,card,APPROVED,,,76,AVS_MATCH,CHALLENGE,0
2026-01-26T09:04:00Z,M102,T331600,212.46,SGD,SG,card,APPROVED,,,100,AVS_UNAVAILABLE,NOT_ATTEMPTED,1
2026-01-26T09:04:18Z,M601,T596023,12.64,EUR,FR,card,APPROVED,,,1,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:05:03Z,M522,T401328,20.14,EUR,DE,card,APPROVED,,,63,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:05:18Z,M601,T726085,10.2,SGD,SG,card,APPROVED,,,89,AVS_UNAVAILABLE,FRICTIONLESS,1
2026-01-26T09:05:33Z,M601,T887253,305.66,EUR,DE,card,DECLINED,ISSUER_DO_NOT_HONOR,51,43,AVS_UNAVAILABLE,FRICTIONLESS,0
2026-01-26T09:05:39Z,M450,T873901,307.35,USD,US,card,APPROVED,,,78,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:06:14Z,M601,T936813,19.39,GBP,GB,card,DECLINED,FRAUD_SUSPECTED,59,79,AVS_MATCH,CHALLENGE,0
2026-01-26T09:06:31Z,M450,T497111,13.04,EUR,FR,card,APPROVED,,,93,AVS_MISMATCH,CHALLENGE,0
2026-01-26T09:07:05Z,M601,T510965,13.26,INR,IN,card,DECLINED,FRAUD_SUSPECTED,59,85,AVS_MISMATCH,FRICTIONLESS,0
